Měna: USD|Množství: 1
Datum|Kurz
03.01.2022|21,860
04.01.2022|21,944
05.01.2022|21,739
06.01.2022|21,679
07.01.2022|21,626
10.01.2022|21,525
11.01.2022|21,538
12.01.2022|21,470
13.01.2022|21,340
14.01.2022|21,400
17.01.2022|21,461
18.01.2022|21,488
19.01.2022|21,427
20.01.2022|21,399
21.01.2022|21,452
24.01.2022|21,694
25.01.2022|21,737
26.01.2022|21,744
27.01.2022|21,891
28.01.2022|21,940
31.01.2022|21,840
01.02.2022|21,615
02.02.2022|21,449
03.02.2022|21,402
04.02.2022|21,251
07.02.2022|21,180
08.02.2022|21,268
09.02.2022|21,246
10.02.2022|21,286
11.02.2022|21,378
14.02.2022|21,676
15.02.2022|21,527
16.02.2022|21,425
17.02.2022|21,444
18.02.2022|21,435
21.02.2022|21,478
22.02.2022|21,596
23.02.2022|21,574
24.02.2022|22,452
25.02.2022|21,986
28.02.2022|22,325
01.03.2022|22,824
02.03.2022|23,297
03.03.2022|23,154
04.03.2022|23,549
07.03.2022|23,485
08.03.2022|23,541
09.03.2022|23,074
10.03.2022|22,841
11.03.2022|22,935
14.03.2022|22,712
15.03.2022|22,623
16.03.2022|22,465
17.03.2022|22,423
18.03.2022|22,567
21.03.2022|22,366
22.03.2022|22,389
23.03.2022|22,397
24.03.2022|22,520
25.03.2022|22,400
28.03.2022|22,485
29.03.2022|22,081
30.03.2022|21,987
31.03.2022|21,963
01.04.2022|22,055
04.04.2022|22,099
05.04.2022|22,191
06.04.2022|22,375
07.04.2022|22,457
08.04.2022|22,546
11.04.2022|22,417
12.04.2022|22,515
13.04.2022|22,585
14.04.2022|22,451
19.04.2022|22,613
20.04.2022|22,546
21.04.2022|22,394
22.04.2022|22,485
25.04.2022|22,725
26.04.2022|22,884
27.04.2022|23,194
28.04.2022|23,393
29.04.2022|23,344
02.05.2022|23,443
03.05.2022|23,357
04.05.2022|23,402
05.05.2022|23,287
06.05.2022|23,336
09.05.2022|23,726
10.05.2022|23,697
11.05.2022|24,034
12.05.2022|23,953
13.05.2022|23,825
16.05.2022|23,709
17.05.2022|23,453
18.05.2022|23,422
19.05.2022|23,468
20.05.2022|23,320
23.05.2022|23,074
24.05.2022|23,004
25.05.2022|23,135
26.05.2022|23,067
27.05.2022|23,043
30.05.2022|22,958
31.05.2022|23,070
01.06.2022|23,102
02.06.2022|23,095
03.06.2022|23,029
06.06.2022|23,043
07.06.2022|23,202
08.06.2022|22,944
09.06.2022|22,985
10.06.2022|23,355
13.06.2022|23,649
14.06.2022|23,689
15.06.2022|23,689
16.06.2022|23,791
17.06.2022|23,599
20.06.2022|23,505
21.06.2022|23,396
22.06.2022|23,484
23.06.2022|23,589
24.06.2022|23,501
27.06.2022|23,392
28.06.2022|23,416
29.06.2022|23,522
30.06.2022|23,821
01.07.2022|23,747
04.07.2022|23,668
07.07.2022|24,344
08.07.2022|24,224
11.07.2022|24,351
12.07.2022|24,476
13.07.2022|24,244
14.07.2022|24,399
15.07.2022|24,414
18.07.2022|24,193
19.07.2022|23,970
20.07.2022|24,012
21.07.2022|23,963
22.07.2022|24,065
25.07.2022|23,962
26.07.2022|24,313
27.07.2022|24,212
28.07.2022|24,296
29.07.2022|24,135
01.08.2022|24,072
02.08.2022|24,112
03.08.2022|24,192
04.08.2022|24,226
05.08.2022|24,025
08.08.2022|24,039
09.08.2022|23,969
10.08.2022|23,798
11.08.2022|23,548
12.08.2022|23,706
15.08.2022|23,992
16.08.2022|24,224
17.08.2022|24,167
18.08.2022|24,180
19.08.2022|24,495
22.08.2022|24,649
23.08.2022|24,831
24.08.2022|24,786
25.08.2022|24,725
26.08.2022|24,615
29.08.2022|24,626
30.08.2022|24,498
31.08.2022|24,528
01.09.2022|24,480
02.09.2022|24,512
05.09.2022|24,831
06.09.2022|24,731
07.09.2022|24,917
08.09.2022|24,520
09.09.2022|24,420
12.09.2022|24,180
13.09.2022|24,125
14.09.2022|24,542
15.09.2022|24,542
16.09.2022|24,606
19.09.2022|24,520
20.09.2022|24,594
21.09.2022|24,870
22.09.2022|24,944
23.09.2022|25,274
26.09.2022|25,534
27.09.2022|25,565
29.09.2022|25,440
30.09.2022|25,181
03.10.2022|25,120
04.10.2022|24,818
05.10.2022|24,754
06.10.2022|24,828
07.10.2022|25,028
10.10.2022|25,287
11.10.2022|25,235
12.10.2022|25,303
13.10.2022|25,231
14.10.2022|25,298
17.10.2022|25,226
18.10.2022|25,013
19.10.2022|25,123
20.10.2022|24,977
21.10.2022|25,206
24.10.2022|24,853
25.10.2022|24,817
26.10.2022|24,469
27.10.2022|24,444
31.10.2022|24,697
01.11.2022|24,615
02.11.2022|24,735
03.11.2022|25,162
04.11.2022|24,737
07.11.2022|24,317
08.11.2022|24,335
09.11.2022|24,253
10.11.2022|24,475
11.11.2022|23,555
14.11.2022|23,544
15.11.2022|23,379
16.11.2022|23,394
18.11.2022|23,493
21.11.2022|23,770
22.11.2022|23,703
23.11.2022|23,591
24.11.2022|23,427
25.11.2022|23,487
28.11.2022|23,279
29.11.2022|23,477
30.11.2022|23,434
01.12.2022|23,304
02.12.2022|23,139
05.12.2022|22,998
06.12.2022|23,120
07.12.2022|23,105
08.12.2022|23,127
09.12.2022|23,007
12.12.2022|23,016
13.12.2022|23,030
14.12.2022|22,798
15.12.2022|22,853
16.12.2022|22,846
19.12.2022|22,861
20.12.2022|22,816
21.12.2022|22,766
22.12.2022|22,772
23.12.2022|22,825
27.12.2022|22,831
28.12.2022|22,796
29.12.2022|22,718
30.12.2022|22,616
