Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
CELH,34.59,2026/04/24,16:00 EDT,0.66,34.16,35.15,33.82,5328780,20250226,27.39,25.0,5.0,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20250206,109.94,6.0,5.0,,,,BUY
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20250108,71.23,10.0,5.0,,,,BUY
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20240904,80.77,15.0,5.0,,,,BUY
WYNN,105.67,2026/04/24,16:00 EDT,0.0599976,105.98,106.84,104.84,1048564,20231115,88.495,6.0,5.0,,,,BUY
WYNN,105.67,2026/04/24,16:00 EDT,0.0599976,105.98,106.84,104.84,1048564,20231109,91.73,5.0,5.0,,,,BUY
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20250106,411.2,4.99999,5.0,,,,SELL
TSLA,376.3,2026/04/24,16:00 EDT,2.57999,373.26,382.76,370.735,62357183,20240129,184.08,5.0,5.0,,,,BUY
TGT,129.26,2026/04/24,16:01 EDT,-0.910004,130.015,130.015,128.1,3076168,20240904,152.095,7.99999,5.0,,,,SELL
TGT,129.26,2026/04/24,16:01 EDT,-0.910004,130.015,130.015,128.1,3076168,20231106,111.2263,8.0,5.0,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20231107,100.0,9.0,5.0,,,,BUY
CAKE,61.72,2026/04/24,16:00 EDT,-0.16,61.79,62.42,60.7,684878,20231115,32.92,20.0,5.0,,,,BUY
