Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
NKE,44.69,2026/04/24,16:00 EDT,-0.0900002,44.98,45.42,44.59,15503089,20260417,46.1,10.0,,,,,BUY
HNST,3.57,2026/04/24,16:00 EDT,0.13,3.47,3.645,3.46,2253725,20260327,2.85,50.0,1.31,,,,BUY
HNST,3.57,2026/04/24,16:00 EDT,0.13,3.47,3.645,3.46,2253725,20260226,2.8,100.0,1.36,,,,BUY
NOW,90.17,2026/04/24,16:00 EDT,5.39,85.78,90.39,84.95,35399154,20260225,103.0,7.0,1.8,,,,BUY
CRM,178.16,2026/04/24,16:00 EDT,4.86,175.62,178.45,174.4,10767575,20260225,189.5,2.0,1.36,,,,BUY
CRM,178.16,2026/04/24,16:00 EDT,4.86,175.62,178.45,174.4,10767575,20251203,237.99,4.0,,,,,BUY
ADBE,245.44,2026/04/24,16:00 EDT,6.46001,239.77,245.66,238.42,6473201,20251128,321.62,2.0,1.61,,,,BUY
CELH,34.59,2026/04/24,16:00 EDT,0.66,34.16,35.15,33.82,5328780,20260327,34.13,14.0,,,,,BUY
CELH,34.59,2026/04/24,16:00 EDT,0.66,34.16,35.15,33.82,5328780,20251107,42.13,10.0,,,,,BUY
META,675.03,2026/04/24,16:00 EDT,15.88,660.32,680.67,653.8401,13292272,20251031,656.81,1.0,,,,,BUY
META,675.03,2026/04/24,16:00 EDT,15.88,660.32,680.67,653.8401,13292272,20250801,753.51,1.0,,,,,BUY
META,675.03,2026/04/24,16:00 EDT,15.88,660.32,680.67,653.8401,13292272,20250416,500.02,1.0,1.27,,,,BUY
META,675.03,2026/04/24,16:00 EDT,15.88,660.32,680.67,653.8401,13292272,20250331,557.29,1.0,,,,,BUY
MSTR,171.02,2026/04/24,16:00 EDT,-1.45,176.895,177.28,169.0101,14041870,20251117,193.7,1.49999,0.01,,,,SELL
MSTR,171.02,2026/04/24,16:00 EDT,-1.45,176.895,177.28,169.0101,14041870,20250205,341.51,1.5,1.28,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20260417,69.9,5.0,1.35,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20250404,54.0,7.0,1.21,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20250303,66.84,5.0,0.0,,,,BUY
ELF,66.28,2026/04/24,16:00 EDT,0.0499954,66.87,67.82,65.8,1677318,20250203,95.19,5.0,1.19,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20260204,208.44,2.0,,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20251125,196.88,4.0,1.97,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20251117,244.78,4.0,2.45,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20250404,87.12,2.0,1.22,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20241220,119.9,5.0,1.5,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20241213,129.88,4.0,1.3,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20241119,139.23,5.0,1.74,,,,BUY
EL,77.82,2026/04/24,16:00 EDT,1.42,77.95,78.32,77.1,2203302,20251106,90.0,6.0,,,,,BUY
EL,77.82,2026/04/24,16:00 EDT,1.42,77.95,78.32,77.1,2203302,20250416,52.18,3.0,1.27,,,,BUY
EL,77.82,2026/04/24,16:00 EDT,1.42,77.95,78.32,77.1,2203302,20241101,67.12,5.0,1.2,,,,BUY
