Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
ADBE,245.44,2026/04/24,16:00 EDT,6.46001,239.77,245.66,238.42,6473201,20250811,341.29,2.0,,,,,BUY
SOFI,18.44,2026/04/24,16:00 EDT,0.120001,18.44,18.575,18.167,40971806,20251121,24.8,5.0,,,,,BUY
SOFI,18.44,2026/04/24,16:00 EDT,0.120001,18.44,18.575,18.167,40971806,20250317,12.02,1.0,,,,,BUY
SOFI,18.44,2026/04/24,16:00 EDT,0.120001,18.44,18.575,18.167,40971806,20250304,12.59,9.0,,,,,BUY
CELH,34.59,2026/04/24,16:00 EDT,0.66,34.16,35.15,33.82,5328780,20250303,26.73,5.0,0.0,,,,BUY
CELH,34.59,2026/04/24,16:00 EDT,0.66,34.16,35.15,33.82,5328780,20250226,27.52,15.0,0.0,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20251120,206.79,2.0,,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20251104,249.97,1.0,,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20251021,239.27,3.0,1.0,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20250226,105.66,1.0,0.0,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20250225,106.37,2.0,,,,,BUY
AMD,347.81,2026/04/24,16:00 EDT,42.48,336.835,352.99,334.54,79942384,20250210,110.89,3.0,1.0,,,,BUY
AVTBF,0.4265,2026/04/24,16:00 EDT,-0.013500005,0.42615,0.42615,0.42615,16,20240108,0.1099,250.0,0.0,,,,BUY
AVTBF,0.4265,2026/04/24,16:00 EDT,-0.013500005,0.42615,0.42615,0.42615,16,20230807,0.1831,89.7,0.0,,,,BUY
