ticker,pdf_file,fx_modes,year_count,sell_count,ignored_current_year_sell_count,open_qty,income_3y_fail_usd,income_3y_fail_czk,costs_3y_fail_usd,costs_3y_fail_czk,source_files
ADBE,ADBE.pdf,2025=daily,1,0,0,4.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv;trading212_portfolio.csv
AMD,AMD.pdf,2024=daily;2025=daily;2026=?,3,0,0,49.00,0.00,0.00,0.00,0.00,lynx_portfolio.csv;revolut_portfolio.csv;trading212_portfolio.csv;xtbusd_portfolio.csv
AMZN,AMZN.pdf,2023=daily;2024=daily;2025=daily,3,0,0,12.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv;xtbczk_portfolio.csv
AVTBF,AVTBF.pdf,2023=daily;2024=daily,2,0,0,676.93,0.00,0.00,0.00,0.00,trading212_portfolio.csv
CAKE,CAKE.pdf,2023=daily;2024=daily;2025=daily,3,0,0,70.00,0.00,0.00,0.00,0.00,lynx_portfolio.csv;revolut_portfolio.csv
CCL,CCL.pdf,2020=daily;2021=daily,2,2,0,0.00,1204.90,26282.48,1277.34,29434.27,revolut_portfolio.csv
CELH,CELH.pdf,2025=daily;2026=?,2,0,0,69.00,0.00,0.00,0.00,0.00,lynx_portfolio.csv;revolut_portfolio.csv;trading212_portfolio.csv
CRM,CRM.pdf,2025=daily;2026=?,2,0,0,6.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv
CRSR,CRSR.pdf,2021=daily;2023=daily;2024=daily,3,8,0,0.00,973.24,21751.15,1638.31,35402.54,revolut_portfolio.csv;trading212_portfolio.csv
DBX,DBX.pdf,2020=daily;2023=daily,2,2,0,0.00,633.08,13719.48,580.48,12760.14,revolut_portfolio.csv;xtbczk_portfolio.csv
EL,EL.pdf,2024=daily;2025=daily,2,0,0,14.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv
ELF,ELF.pdf,2023=daily;2024=daily;2025=daily;2026=?,4,0,0,46.00,0.00,0.00,0.00,0.00,lynx_portfolio.csv;revolut_portfolio.csv;xtbusd_portfolio.csv
FL,FL.pdf,2020=daily;2021=daily;2023=daily,3,2,0,0.00,633.56,14154.19,555.70,12251.85,revolut_portfolio.csv
FUBO,FUBO.pdf,2023=daily;2024=daily;2025=daily,3,0,0,200.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv
HNST,HNST.pdf,2023=daily;2024=daily;2025=daily;2026=?,4,1,0,226.00,18.56,433.42,9.45,204.86,revolut_portfolio.csv;trading212_portfolio.csv
KO,KO.pdf,2020=daily;2021=daily,2,1,0,0.00,255.00,5603.37,217.00,5501.17,revolut_portfolio.csv
META,META.pdf,2025=daily,1,0,0,5.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv;xtbusd_portfolio.csv
MSTR,MSTR.pdf,2025=daily,1,1,0,0.00,290.55,6039.33,512.26,12360.36,revolut_portfolio.csv
NKE,NKE.pdf,2024=daily;2025=daily;2026=?,3,1,0,43.00,811.07,17071.40,1102.60,25037.80,lynx_portfolio.csv;revolut_portfolio.csv;xtbczk_portfolio.csv;xtbusd_portfolio.csv
NOW,NOW.pdf,2026=?,1,0,0,7.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv
NVDA,NVDA.pdf,2024=daily,1,2,0,0.00,1246.95,28156.16,826.50,19518.62,xtbczk_portfolio.csv
PLNH,PLNH.pdf,2021=daily;2024=daily,2,0,0,376.00,0.00,0.00,0.00,0.00,trading212_portfolio.csv
PLTR,PLTR.pdf,2021=daily;2023=daily;2024=daily;2025=daily,4,20,0,20.00,15195.02,343289.91,1971.23,44106.93,revolut_portfolio.csv;trading212_portfolio.csv;xtbczk_portfolio.csv
PYPL,PYPL.pdf,2023=daily;2024=daily;2025=daily;2026=?,4,1,0,75.00,145.26,3299.00,124.48,2697.61,revolut_portfolio.csv;trading212_portfolio.csv;xtbczk_portfolio.csv
QCOM,QCOM.pdf,2020=daily,1,1,0,0.00,68.16,1695.75,65.39,1640.24,revolut_portfolio.csv
SHOP,SHOP.pdf,2020=daily;2021=daily;2024=daily,3,1,0,12.00,1550.00,33833.40,1068.75,23207.91,revolut_portfolio.csv;trading212_portfolio.csv;xtbczk_portfolio.csv
SOFI,SOFI.pdf,2024=daily;2025=daily;2026=?,3,0,0,224.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv;trading212_portfolio.csv;xtbczk_portfolio.csv;xtbusd_portfolio.csv
SWKS,SWKS.pdf,2020=daily;2023=daily,2,1,0,0.00,0.00,0.00,0.00,0.00,revolut_portfolio.csv
TGT,TGT.pdf,2023=daily;2024=daily,2,2,0,0.00,1672.43,38232.26,1244.76,28408.42,lynx_portfolio.csv;revolut_portfolio.csv
TPR,TPR.pdf,2020=daily,1,1,0,0.00,87.84,1928.35,86.28,2187.28,revolut_portfolio.csv
TSLA,TSLA.pdf,2020=daily;2023=daily;2024=daily;2025=daily,4,9,0,0.00,7091.70,154760.67,4185.37,97290.18,lynx_portfolio.csv;revolut_portfolio.csv;xtbczk_portfolio.csv
UBER,UBER.pdf,2020=daily,1,2,0,0.00,332.78,7704.03,345.02,8192.21,revolut_portfolio.csv
WBA,WBA.pdf,2021=daily;2023=daily;2024=daily,3,1,0,0.00,46.90,1091.83,106.35,2483.70,revolut_portfolio.csv
WYNN,WYNN.pdf,2020=daily;2023=daily;2025=daily,3,2,0,11.00,1219.58,25951.22,855.18,20237.38,lynx_portfolio.csv;revolut_portfolio.csv
