ticker,pdf_file,transaction_count,buy_count,sell_count,first_date,last_date,source_files
ADBE,ADBE.pdf,2,2,0,2025-08-11,2025-11-28,revolut_portfolio_new.csv;trading212_portfolio_new.csv
AMD,AMD.pdf,16,16,0,2024-11-19,2026-02-04,lynx_portfolio_new.csv;revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbusd_portfolio_new.csv
AMZN,AMZN.pdf,5,5,0,2023-05-22,2025-10-21,revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
AVTBF,AVTBF.pdf,8,8,0,2023-07-20,2024-01-08,trading212_portfolio_new.csv
CAKE,CAKE.pdf,7,7,0,2023-06-07,2025-11-03,lynx_portfolio_new.csv;revolut_portfolio_new.csv
CCL,CCL.pdf,9,7,2,2020-02-05,2021-04-07,revolut_portfolio_new.csv
CELH,CELH.pdf,5,5,0,2025-02-26,2026-03-27,lynx_portfolio_new.csv;revolut_portfolio_new.csv;trading212_portfolio_new.csv
CRM,CRM.pdf,2,2,0,2025-12-03,2026-02-25,revolut_portfolio_new.csv
CRSR,CRSR.pdf,22,14,8,2021-02-22,2024-10-30,revolut_portfolio_new.csv;trading212_portfolio_new.csv
DBX,DBX.pdf,5,3,2,2020-08-31,2023-05-15,revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
EL,EL.pdf,3,3,0,2024-11-01,2025-11-06,revolut_portfolio_new.csv
ELF,ELF.pdf,8,8,0,2023-11-07,2026-04-17,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbusd_portfolio_new.csv
FL,FL.pdf,5,3,2,2020-08-31,2023-11-01,revolut_portfolio_new.csv
FUBO,FUBO.pdf,4,4,0,2023-11-07,2025-11-24,revolut_portfolio_new.csv
HNST,HNST.pdf,7,6,1,2023-05-15,2026-03-27,revolut_portfolio_new.csv;trading212_portfolio_new.csv
KO,KO.pdf,2,1,1,2020-03-25,2021-03-15,revolut_portfolio_new.csv
META,META.pdf,5,5,0,2025-03-18,2025-10-31,revolut_portfolio_new.csv;xtbusd_portfolio_new.csv
MSTR,MSTR.pdf,2,1,1,2025-02-05,2025-11-17,revolut_portfolio_new.csv
NKE,NKE.pdf,8,7,1,2024-08-05,2026-04-17,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbczk_portfolio_new.csv;xtbusd_portfolio_new.csv
NOW,NOW.pdf,1,1,0,2026-02-25,2026-02-25,revolut_portfolio_new.csv
NVDA,NVDA.pdf,3,1,2,2024-04-24,2024-08-29,xtbczk_portfolio_new.csv
PLNH,PLNH.pdf,11,11,0,2021-01-25,2024-09-12,trading212_portfolio_new.csv
PLTR,PLTR.pdf,33,13,20,2021-04-13,2025-09-29,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
PYPL,PYPL.pdf,18,17,1,2023-05-15,2026-01-30,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
QCOM,QCOM.pdf,2,1,1,2020-03-26,2020-03-27,revolut_portfolio_new.csv
SHOP,SHOP.pdf,7,6,1,2020-12-10,2024-08-05,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
SOFI,SOFI.pdf,11,11,0,2024-03-14,2026-02-17,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv;xtbusd_portfolio_new.csv
SWKS,SWKS.pdf,2,1,1,2020-03-26,2023-11-07,revolut_portfolio_new.csv
TGT,TGT.pdf,5,3,2,2023-09-13,2024-09-04,lynx_portfolio_new.csv;revolut_portfolio_new.csv
TPR,TPR.pdf,2,1,1,2020-03-25,2020-08-31,revolut_portfolio_new.csv
TSLA,TSLA.pdf,21,12,9,2020-02-03,2025-07-11,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
UBER,UBER.pdf,4,2,2,2020-02-18,2020-08-19,revolut_portfolio_new.csv
WBA,WBA.pdf,3,2,1,2021-01-04,2024-11-01,revolut_portfolio_new.csv
WYNN,WYNN.pdf,8,6,2,2020-03-20,2025-11-20,lynx_portfolio_new.csv;revolut_portfolio_new.csv
