ticker,pdf_file,year_count,sell_count,ignored_current_year_sell_count,open_qty,source_files
ADBE,ADBE.pdf,1,0,0,4,revolut_portfolio_new.csv;trading212_portfolio_new.csv
AMD,AMD.pdf,3,0,0,49,lynx_portfolio_new.csv;revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbusd_portfolio_new.csv
AMZN,AMZN.pdf,3,0,0,12,revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
AVTBF,AVTBF.pdf,2,0,0,676.9273,trading212_portfolio_new.csv
CAKE,CAKE.pdf,3,0,0,70,lynx_portfolio_new.csv;revolut_portfolio_new.csv
CCL,CCL.pdf,2,2,0,0,revolut_portfolio_new.csv
CELH,CELH.pdf,2,0,0,69,lynx_portfolio_new.csv;revolut_portfolio_new.csv;trading212_portfolio_new.csv
CRM,CRM.pdf,2,0,0,6,revolut_portfolio_new.csv
CRSR,CRSR.pdf,3,8,0,0,revolut_portfolio_new.csv;trading212_portfolio_new.csv
DBX,DBX.pdf,2,2,0,0,revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
EL,EL.pdf,2,0,0,14,revolut_portfolio_new.csv
ELF,ELF.pdf,4,0,0,46,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbusd_portfolio_new.csv
FL,FL.pdf,3,2,0,0,revolut_portfolio_new.csv
FUBO,FUBO.pdf,3,0,0,200,revolut_portfolio_new.csv
HNST,HNST.pdf,4,1,0,226,revolut_portfolio_new.csv;trading212_portfolio_new.csv
KO,KO.pdf,2,1,0,0,revolut_portfolio_new.csv
META,META.pdf,1,0,0,5,revolut_portfolio_new.csv;xtbusd_portfolio_new.csv
MSTR,MSTR.pdf,1,1,0,0,revolut_portfolio_new.csv
NKE,NKE.pdf,3,1,0,43,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbczk_portfolio_new.csv;xtbusd_portfolio_new.csv
NOW,NOW.pdf,1,0,0,7,revolut_portfolio_new.csv
NVDA,NVDA.pdf,1,2,0,0,xtbczk_portfolio_new.csv
PLNH,PLNH.pdf,2,0,0,376,trading212_portfolio_new.csv
PLTR,PLTR.pdf,4,20,0,20,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
PYPL,PYPL.pdf,4,1,0,75,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
QCOM,QCOM.pdf,1,1,0,0,revolut_portfolio_new.csv
SHOP,SHOP.pdf,3,1,0,12,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv
SOFI,SOFI.pdf,3,0,0,224,revolut_portfolio_new.csv;trading212_portfolio_new.csv;xtbczk_portfolio_new.csv;xtbusd_portfolio_new.csv
SWKS,SWKS.pdf,2,1,0,0,revolut_portfolio_new.csv
TGT,TGT.pdf,2,2,0,0,lynx_portfolio_new.csv;revolut_portfolio_new.csv
TPR,TPR.pdf,1,1,0,0,revolut_portfolio_new.csv
TSLA,TSLA.pdf,4,9,0,0,lynx_portfolio_new.csv;revolut_portfolio_new.csv;xtbczk_portfolio_new.csv
UBER,UBER.pdf,1,2,0,0,revolut_portfolio_new.csv
WBA,WBA.pdf,3,1,0,0,revolut_portfolio_new.csv
WYNN,WYNN.pdf,3,2,0,11,lynx_portfolio_new.csv;revolut_portfolio_new.csv
